"ဗိုလ္ေအာင္ေက်ာ္လမ္း","53,54,54"
"ဘီအိုစီ","15,39"
"ဘီအိုစီအဝိုင္း","20,23"
"ဘုန္းႀကီးေက်ာင္းေကြ႕","7"
"ဘုန္းႀကီးလမ္း","18,32,35,37,39,42"
"ဘုရင့္ေနာင္","40"
"ဘုရင့္ေနာင္တံတား","16,20,23"
"ဘုရင့္ေနာင္လမ္း","14,15,19,20,23,38,42"
"ဘုရင့္ေနာင္လမ္းဆုံ","15,19"
"ဘုရင့္ေနာင္လမ္းမႀကီး","40"
"ဘုရားငုတ္တို","47,48,49,50"
"ဘုရားလမ္း","57"
"ဘုရားလမ္းဆုံ","32"
"ေဘလီ","6,12,14,18,26,27,29,30,32"
"ေဘလီ","38"
"မင္းကုန္း","45"
"မင္းႀကီးလမ္း","21"
"မင္းဓမၼလမ္း","6"
"မင္းနႏၵာလမ္း","4,5,8,9,10,33"
"မင္းရဲေက်ာ္စြာလမ္း","25,26,27,27,29,30"
"မဂၤလာေဈး","3,7,8,25,27,33"
"မဝတလမ္းဆုံ","12"
"မဟာဗႏၶဳလတံတား","4,31,34"
"မဟာဗႏၶဳလတံတားေအာက္","24,26"
"မဟာဗႏၶဳလလမ္း","7,21,34,35,37,39,42,57"
"မိုးေကာင္းလမ္း","12,14,26,27,38"
"မီးခြက္ေဈး","22,52"
"ေမာင္းမကန္လမ္း","2,3,6"
"ေမာ္တင္","21,35,37,39"
"ျမင္ေတာ္သာလမ္း","8,34"
"ျမင္သာ(ကညန)","1"
"ျမန္မာ့ဂုဏ္ရည္လမ္း","20"
"ျမရာကုန္းလမ္း","20"
"ေျမနီကုန္း","11,20,21,35,37,39"
"ေျမာက္ဥကၠလာပေဆး႐ုံ","2"
"ေျမာက္ဥကၠလာပအဝိုင္း","2,10,15,16,19,28,32,36"
"ေျမာင္းတကာ","55"
"ေမွာဘီနည္းပညာတကၠသိုလ္","55"
"ေမွာ္ဘီ","55"
"ေမွာ္ဘီေဈးေရွ႕","43"
"ယမုံနာလမ္း","8,31"
"ယုဇန(ခိုင္ေ႐ႊဝါလမ္း)","2"
"ယုဇနပလာဇာ","3,9,20,25,27,33"
"ယုဇနဥယ်ာဥ္","5"
"ယုဇနဥယ်ာဥ္ၿမိဳ႕ေတာ္","3,4"
"ရတနာပုံလမ္း","7"
"ရတနာလမ္း(ဒဂုံဆိပ္ကမ္း)","4,5"
"ရတနာလမ္း(သဃၤန္းကြၽန္း)","1,14,26,27,42,60"
"ရန္ကင္းစင္တာ","14"
"ရန္ကင္းလမ္း","12,14,29,38"
"ရန္ကုန္ေညာင္တုန္းလမ္း","52"
"ရန္ကုန္ပုသိမ္လမ္း","52"
"ရန္ကုန္ပဲခူးလမ္း","44"
"ရန္ကုန္ဘူတာႀကီး","12,28,29,36"
"ရန္ရွင္းလမ္း","14,38"
"ရာဇဓိရာဇ္လမ္း","24,26"
"ရာဇာသၾကၤန္လမ္း","15"
"ရိုးႀကီး/ရိုးေလး","22"
"ရိုးမရိပ္သာ","5"
"ေရေၾကာင္းတကၠသိုလ္","32"
"ရဲမြန္","1"
"႐ြာမေက်ာင္းလမ္း","11,22"
"႐ြာသာႀကီး(စီးပြားေရးတကၠသိုလ္)","1,46"
"ေ႐ြဗဟို","9"
"ေ႐ႊဂုံတိုင္","12,20,29"
"ေ႐ႊဂုံတိုင္ဂုံးေက်ာ္တံတား","59"
"ေ႐ႊဂုံတိုင္လမ္း","12,59"
"ေ႐ႊဂုံလမ္း","59"
"ေ႐ႊတိဂုံဘုရားလမ္း","8,11"
"ေ႐ႊေပါက္ကံ","17,19"
"ေ႐ႊေပါက္ကံ(ေတာင္ငူလမ္း)","16"
"ေ႐ႊျပည္သာ(လိန္ကုန္း)","39,40,42"
"ေ႐ႊျပည္သာေကြ႕","42"
"ေ႐ႊျပည္သာတံတား","17,21"
"ေ႐ႊဗဟိုရ္","25"
"ေ႐ႊရင္ေအးလမ္း","54,54"
"ေ႐ႊလင္ဗန္းလမ္းဆုံ","53"
"ေ႐ႊလင္ဗန္းလမ္းဆုံ","53"
"ေ႐ႊလီလမ္း","5"
"ရႈခင္းသာၿမိဳ႕ပါတ္လမ္း","10,31,42"
"လင့္လမ္း","11,20"
"လမ္းသစ္လမ္း","41"
"လိန္ကုန္း","43,44"
"ေလးေထာင့္ကန္လမ္း","3,18,24,32"
"လွည္တန္းလမ္း","41"
"လွည္းကူးေဈးေရွ႕","1,44,45"
"လွည္းတန္း","21,35,37,39"
"လွည္းတန္းခိုင္ေ႐ႊဝါ","11,22"
"လွည္းတန္းလမ္း","14,30,38"
"လွိုင္သာယာ ဘီအိုစီ","47,49"
"ေလွာ္ကားလမ္း","2,6,7,42,43,44"
"ေဝဇယႏၱာလမ္း","18,32"
"သခင္ျမပန္းၿခံ","14,19,22,23,30,40,41,56,57,57,59"
"သဃၤန္းကြၽန္း","1"
"သဃၤန္းကြၽန္းစံျပေစ်း","59,60"
"သစၥာလမ္း","12,29,38"
"သနပ္ပင္","1,51"
"သန္လ်င္(ၿမိဳ႕မေဈး)","32"
"သန္လ်င္(အေရွ႕ပိုင္းတကၠသိုလ္)","31"
"သန္လ်င္ေက်ာက္တန္းလမ္း","31,34"
"သန္လ်င္အမွတ္(၁)တံတား","31,32,33,34"
"သမကုန္း","16,22"
"သမကုန္းအဝိုင္း","17,20,23"
"သမိန္ဗရမ္းလမ္း","9,18,25,26,59"
"သမိုင္းလမ္းဆုံ","15,15,19,21,39"
"သာေကတ(အဝိုင္း)","5,8,34"
"သာေကတတံတား","8,9"
"သာေကတအဝိုင္း","4,32,33,42"
"သာေကတဧရာဝဏ္","60"
"သိမ္ျဖဴ","7,20,20"
"သိမ္ျဖဴလမ္း","34"
"သီရိမဂၤလာေဈးသစ္","19,20,23,38,40"
"သုဓမၼာလမ္း","2,8,10,15,18,19,36,42"
"သုမဂၤလာ","1"
"သုမဂၤလာလမ္း","10,32"
"သုဝဏၰတံတား","9,10,24,32"
"သုံးခြ","34"
"သံလ်င္တံတားခ်ဥ္းကပ္လမ္း","4,42"
"သံသုမာ","59"
"သံသုမာလမ္း","6,9,14,18,18,24,25,26,27,29,32,38,42,60"
"ေသြးေဆးကန္လမ္း","11"
"ဟံသာဝတီ","22"
"ဟံသာဝတီလမ္း","11"
"အင္းစိန္ပန္းၿခံ","11,15,21,22,41"
"အင္းတိုင္","1"
"အင္းဝ အိမ္ရာ","8"
"အထက္ၾကည့္ျမင့္တိုင္လမ္း","11,22,41"
"အထက္ပုဇြန္ေတာင္လမ္း","24,26"
"အေနာက္ႀကိဳ႕ကုန္း","22"
"အေနာက္ပိုင္းေဆး႐ုံ","22"
